evaluations raw_y
1 0.0000000000
2 5.6300000000
3 9.2600000000
4 11.4900000000
6 44.6200000000
11 49.2500000000
13 54.8100000000
14 68.2800000000
15 73.1900000000
43 80.6300000000
69 93.1200000000
102 125.3700000000
184 133.4400000000
216 137.8600000000
222 148.3300000000
371 154.9100000000
372 160.3700000000
493 164.3500000000
651 174.7200000000
678 186.1900000000
1032 186.9500000000
1176 188.4700000000
1357 204.3900000000
1599 210.7600000000
1613 211.7800000000
1699 212.4400000000
1781 222.8700000000
1786 224.0400000000
1787 226.1300000000
1791 231.3100000000
1798 242.8800000000
1800 255.1100000000
1807 260.6400000000
1846 261.6400000000
1916 268.0600000000
2044 279.5900000000
2159 279.7800000000
2217 284.0300000000
2237 285.8900000000
2327 287.9300000000
2393 288.4700000000
2400 290.9700000000
2421 292.8900000000
2557 300.9500000000
2568 315.1700000000
2621 318.1700000000
3566 327.8100000000
3735 328.6700000000
3928 402.3100000000
6127 405.4500000000
7030 411.0900000000
7946 414.8500000000
8139 416.7800000000
8170 443.1300000000
8191 444.0800000000
8200 453.5300000000
8265 457.7000000000
8273 462.9800000000
8380 463.5100000000
8715 466.9200000000
9122 477.0600000000
12680 513.5400000000
12691 529.9800000000
12696 537.8200000000
12930 543.4100000000
13091 547.6800000000
13335 650.1900000000
evaluations raw_y
1 0.0000000000
2 11.4900000000
4 12.4800000000
5 15.3800000000
6 32.0100000000
7 41.7000000000
10 73.2100000000
11 77.1800000000
18 92.1300000000
32 100.6600000000
54 105.1900000000
114 105.2200000000
119 107.4600000000
176 119.9300000000
181 120.2700000000
183 126.4700000000
239 135.5000000000
247 142.8500000000
248 145.7200000000
261 153.6500000000
297 158.2000000000
419 159.9400000000
448 169.1300000000
651 172.7600000000
785 235.3000000000
1783 244.5000000000
1803 268.6900000000
2011 283.5800000000
2103 295.7600000000
2178 296.1700000000
2185 296.3000000000
2259 301.5100000000
2479 304.3200000000
2626 308.4700000000
2684 323.4000000000
3144 334.7700000000
3311 342.4200000000
3374 349.8300000000
3470 356.5500000000
3502 370.9000000000
3919 383.7000000000
6607 410.1400000000
evaluations raw_y
1 0.0000000000
2 11.8500000000
3 16.2800000000
6 31.6900000000
7 48.1300000000
10 68.9700000000
11 76.9800000000
14 82.5500000000
15 88.5500000000
44 96.2200000000
