evaluations raw_y
1 618.0000000000
16 625.0000000000
23 639.0000000000
73 648.0000000000
98 659.0000000000
155 660.0000000000
228 662.0000000000
249 668.0000000000
281 671.0000000000
353 674.0000000000
357 682.0000000000
489 684.0000000000
515 687.0000000000
663 689.0000000000
712 690.0000000000
733 691.0000000000
788 692.0000000000
794 696.0000000000
901 698.0000000000
1211 700.0000000000
1323 702.0000000000
1489 703.0000000000
1616 706.0000000000
1867 707.0000000000
2004 708.0000000000
2186 711.0000000000
7032 712.0000000000
8100 714.0000000000
13952 717.0000000000
16710 718.0000000000
20703 720.0000000000
64425 721.0000000000
100000 683.0000000000
evaluations raw_y
1 595.0000000000
2 600.0000000000
4 618.0000000000
25 620.0000000000
35 641.0000000000
66 644.0000000000
98 657.0000000000
99 659.0000000000
196 666.0000000000
206 670.0000000000
223 676.0000000000
379 683.0000000000
491 689.0000000000
650 693.0000000000
683 699.0000000000
748 700.0000000000
854 701.0000000000
926 706.0000000000
2799 710.0000000000
7627 712.0000000000
8213 715.0000000000
100000 675.0000000000
evaluations raw_y
1 614.0000000000
3 622.0000000000
24 630.0000000000
43 633.0000000000
70 640.0000000000
83 643.0000000000
85 647.0000000000
139 656.0000000000
257 659.0000000000
312 661.0000000000
324 666.0000000000
377 667.0000000000
378 669.0000000000
479 681.0000000000
584 684.0000000000
596 686.0000000000
618 688.0000000000
761 690.0000000000
769 695.0000000000
809 696.0000000000
914 698.0000000000
931 699.0000000000
944 701.0000000000
1005 702.0000000000
1214 704.0000000000
1225 706.0000000000
1487 710.0000000000
2660 714.0000000000
8252 715.0000000000
20137 716.0000000000
29268 717.0000000000
29301 720.0000000000
100000 720.0000000000
evaluations raw_y
1 642.0000000000
78 652.0000000000
105 658.0000000000
142 660.0000000000
173 670.0000000000
258 671.0000000000
265 677.0000000000
308 680.0000000000
407 681.0000000000
629 686.0000000000
654 691.0000000000
794 692.0000000000
859 693.0000000000
875 694.0000000000
878 695.0000000000
1000 696.0000000000
1023 698.0000000000
1140 701.0000000000
1321 702.0000000000
1366 708.0000000000
3491 709.0000000000
4020 711.0000000000
6737 713.0000000000
18098 714.0000000000
30995 715.0000000000
100000 693.0000000000
evaluations raw_y
1 614.0000000000
10 634.0000000000
22 649.0000000000
62 652.0000000000
166 673.0000000000
265 682.0000000000
396 686.0000000000
532 688.0000000000
626 689.0000000000
704 696.0000000000
974 699.0000000000
1001 700.0000000000
1016 702.0000000000
1102 703.0000000000
1191 704.0000000000
1354 706.0000000000
2416 707.0000000000
2520 708.0000000000
2658 709.0000000000
2736 710.0000000000
2884 711.0000000000
6687 713.0000000000
29246 714.0000000000
77088 715.0000000000
100000 708.0000000000
evaluations raw_y
1 612.0000000000
12 613.0000000000
19 622.0000000000
22 629.0000000000
41 631.0000000000
61 649.0000000000
118 652.0000000000
221 653.0000000000
225 656.0000000000
268 658.0000000000
272 659.0000000000
283 661.0000000000
319 662.0000000000
341 669.0000000000
415 672.0000000000
440 673.0000000000
470 676.0000000000
491 678.0000000000
548 679.0000000000
584 688.0000000000
725 689.0000000000
784 690.0000000000
819 693.0000000000
962 695.0000000000
1016 696.0000000000
1043 697.0000000000
1335 699.0000000000
1409 703.0000000000
2109 707.0000000000
2539 710.0000000000
3037 712.0000000000
3044 714.0000000000
3466 715.0000000000
8602 716.0000000000
10719 719.0000000000
13643 720.0000000000
17244 723.0000000000
100000 696.0000000000
evaluations raw_y
1 599.0000000000
3 607.0000000000
6 609.0000000000
10 646.0000000000
61 652.0000000000
105 654.0000000000
106 663.0000000000
141 672.0000000000
365 678.0000000000
407 685.0000000000
573 686.0000000000
699 687.0000000000
771 693.0000000000
835 697.0000000000
948 698.0000000000
1064 699.0000000000
1157 703.0000000000
2150 704.0000000000
2238 708.0000000000
2284 710.0000000000
2637 711.0000000000
2699 712.0000000000
5848 715.0000000000
6467 716.0000000000
6790 719.0000000000
7507 723.0000000000
100000 677.0000000000
evaluations raw_y
1 562.0000000000
2 566.0000000000
3 578.0000000000
4 615.0000000000
10 621.0000000000
20 634.0000000000
98 639.0000000000
104 644.0000000000
130 650.0000000000
252 652.0000000000
270 663.0000000000
323 664.0000000000
342 679.0000000000
477 682.0000000000
686 683.0000000000
706 687.0000000000
738 693.0000000000
940 706.0000000000
1981 708.0000000000
3446 712.0000000000
5757 713.0000000000
51204 716.0000000000
60672 717.0000000000
100000 717.0000000000
evaluations raw_y
1 604.0000000000
5 621.0000000000
8 636.0000000000
43 647.0000000000
98 656.0000000000
144 657.0000000000
186 664.0000000000
194 669.0000000000
244 674.0000000000
390 675.0000000000
469 683.0000000000
592 687.0000000000
663 688.0000000000
759 693.0000000000
840 697.0000000000
935 700.0000000000
1211 701.0000000000
2081 705.0000000000
4281 707.0000000000
4798 709.0000000000
5100 713.0000000000
5904 715.0000000000
12882 717.0000000000
14323 720.0000000000
16339 722.0000000000
20435 723.0000000000
28164 724.0000000000
86770 725.0000000000
93056 726.0000000000
100000 703.0000000000
evaluations raw_y
1 536.0000000000
2 561.0000000000
3 573.0000000000
4 578.0000000000
5 597.0000000000
6 621.0000000000
11 626.0000000000
20 647.0000000000
98 654.0000000000
155 656.0000000000
161 661.0000000000
171 663.0000000000
203 666.0000000000
232 668.0000000000
274 669.0000000000
290 670.0000000000
292 680.0000000000
369 682.0000000000
421 684.0000000000
423 685.0000000000
435 689.0000000000
501 691.0000000000
528 692.0000000000
608 697.0000000000
944 701.0000000000
2519 702.0000000000
3728 707.0000000000
4510 708.0000000000
6036 712.0000000000
7570 713.0000000000
13230 714.0000000000
13446 718.0000000000
15972 720.0000000000
16589 721.0000000000
20763 722.0000000000
26884 723.0000000000
32412 725.0000000000
36602 727.0000000000
55528 729.0000000000
100000 720.0000000000
evaluations raw_y
1 611.0000000000
4 624.0000000000
5 627.0000000000
9 648.0000000000
99 657.0000000000
169 672.0000000000
225 674.0000000000
279 682.0000000000
301 693.0000000000
341 694.0000000000
589 696.0000000000
595 705.0000000000
1524 708.0000000000
2228 711.0000000000
2538 712.0000000000
2842 714.0000000000
3358 716.0000000000
10650 717.0000000000
61994 719.0000000000
82357 720.0000000000
93576 722.0000000000
96323 723.0000000000
100000 723.0000000000
evaluations raw_y
1 619.0000000000
21 622.0000000000
38 660.0000000000
140 667.0000000000
192 672.0000000000
281 675.0000000000
382 678.0000000000
434 679.0000000000
535 686.0000000000
644 688.0000000000
685 689.0000000000
689 691.0000000000
715 694.0000000000
1024 697.0000000000
1234 698.0000000000
1438 700.0000000000
1556 701.0000000000
3042 702.0000000000
3277 710.0000000000
9282 712.0000000000
14708 715.0000000000
100000 706.0000000000
evaluations raw_y
1 615.0000000000
5 631.0000000000
54 639.0000000000
105 645.0000000000
115 654.0000000000
176 655.0000000000
178 661.0000000000
242 664.0000000000
307 668.0000000000
320 672.0000000000
339 676.0000000000
367 681.0000000000
567 682.0000000000
613 683.0000000000
644 686.0000000000
674 690.0000000000
828 694.0000000000
850 698.0000000000
977 699.0000000000
1005 701.0000000000
1105 702.0000000000
1272 704.0000000000
1284 705.0000000000
1332 706.0000000000
2161 707.0000000000
2193 708.0000000000
2597 711.0000000000
4256 713.0000000000
6054 715.0000000000
8341 717.0000000000
100000 691.0000000000
evaluations raw_y
1 613.0000000000
2 617.0000000000
8 620.0000000000
10 642.0000000000
25 658.0000000000
78 660.0000000000
93 661.0000000000
140 672.0000000000
