evaluations raw_y
1 88.0800000000
3 102.6400000000
16 105.8500000000
19 105.9500000000
26 116.3200000000
76 122.2800000000
83 130.2000000000
100 138.1000000000
102 145.7900000000
110 148.5200000000
166 164.9100000000
277 170.7300000000
334 183.8200000000
470 193.4000000000
699 193.6300000000
703 201.5500000000
723 211.5100000000
1443 252.9300000000
1636 265.5600000000
1681 268.4200000000
1687 268.8600000000
1708 270.5300000000
1734 276.3800000000
1791 278.4200000000
1797 279.9900000000
1927 280.6000000000
1930 285.9400000000
1934 287.6000000000
2036 299.2300000000
2217 317.5100000000
2232 399.1400000000
2303 399.5300000000
2317 440.4000000000
2365 531.1500000000
2377 535.0600000000
2380 536.1500000000
2390 540.3200000000
2401 541.4600000000
2430 560.7700000000
2570 566.5300000000
2626 568.4600000000
2799 587.8300000000
2934 589.7700000000
3078 594.7200000000
3139 596.8100000000
3230 599.3500000000
3383 608.9300000000
3620 610.5300000000
3717 618.5300000000
3719 622.5000000000
3720 628.2100000000
3870 630.4500000000
3946 637.6700000000
4008 637.6800000000
4021 644.5700000000
6098 650.5900000000
8954 652.4100000000
12503 652.5600000000
12915 655.1100000000
24363 658.8200000000
30895 705.3000000000
30921 714.3300000000
31050 718.2000000000
31098 722.8300000000
31268 723.6500000000
31349 725.1900000000
31383 731.2100000000
31988 735.7200000000
34319 743.8600000000
36235 749.4000000000
36441 816.4400000000
36628 823.1500000000
36669 823.4700000000
36722 825.5700000000
36729 827.7400000000
36740 833.2600000000
36800 833.5100000000
36810 834.4600000000
36812 835.7800000000
36875 836.3300000000
36899 844.6500000000
37627 846.1400000000
38164 847.2600000000
38642 848.8500000000
40959 854.4000000000
44851 872.7900000000
67354 873.6700000000
67629 875.6500000000
67878 879.3200000000
70182 883.3200000000
71112 884.4000000000
100000 851.7300000000
evaluations raw_y
1 54.8700000000
2 78.1700000000
3 88.6600000000
16 93.9000000000
44 98.6900000000
53 120.8700000000
93 136.6400000000
97 143.3000000000
171 149.8700000000
187 154.0900000000
193 154.7900000000
205 156.5400000000
214 166.3100000000
247 166.9300000000
288 182.4300000000
290 183.9200000000
305 185.2000000000
340 187.9900000000
351 219.9900000000
402 243.6900000000
453 264.0700000000
473 297.6000000000
531 394.8500000000
538 417.1100000000
664 422.7700000000
698 423.1000000000
765 441.7600000000
782 452.0200000000
981 456.5500000000
1082 470.7700000000
1684 471.7000000000
1951 472.2600000000
2151 578.1700000000
2259 579.4200000000
2262 582.9000000000
2366 596.5700000000
2898 598.0800000000
2986 598.5600000000
2994 599.8100000000
3281 602.4400000000
3608 602.8300000000
3648 603.0400000000
4218 613.8300000000
4782 703.0500000000
4807 708.0000000000
4812 708.5000000000
4863 712.4600000000
4930 718.3600000000
4943 723.4100000000
5295 731.8400000000
5383 732.4400000000
5761 733.1100000000
6169 735.0400000000
7830 737.6900000000
8269 743.3700000000
11723 795.1500000000
11799 811.1200000000
11942 820.7000000000
12014 837.6100000000
12233 844.1600000000
12534 848.2600000000
12609 855.6800000000
12848 856.1600000000
13464 862.3100000000
13981 865.7200000000
14672 872.9700000000
14857 877.1700000000
15026 880.0300000000
15578 880.4100000000
15641 889.1100000000
17857 889.2500000000
19314 891.9200000000
23610 895.7300000000
42186 899.1900000000
100000 699.5700000000
evaluations raw_y
1 72.9300000000
2 102.5700000000
