evaluations raw_y
1 483.0000000000
2 501.0000000000
28 503.0000000000
38 511.0000000000
68 512.0000000000
88 514.0000000000
93 517.0000000000
105 518.0000000000
107 528.0000000000
188 529.0000000000
197 537.0000000000
351 538.0000000000
400 539.0000000000
407 542.0000000000
420 543.0000000000
546 544.0000000000
598 549.0000000000
1020 552.0000000000
1876 554.0000000000
2439 555.0000000000
2622 558.0000000000
3697 560.0000000000
5050 561.0000000000
15220 562.0000000000
17778 563.0000000000
17858 564.0000000000
18320 565.0000000000
18430 569.0000000000
19640 570.0000000000
100000 570.0000000000
evaluations raw_y
1 489.0000000000
2 491.0000000000
3 501.0000000000
6 503.0000000000
10 504.0000000000
27 509.0000000000
39 510.0000000000
64 515.0000000000
86 526.0000000000
98 530.0000000000
292 538.0000000000
427 539.0000000000
454 540.0000000000
498 542.0000000000
565 544.0000000000
568 546.0000000000
644 551.0000000000
814 552.0000000000
885 555.0000000000
1524 556.0000000000
1643 559.0000000000
2475 561.0000000000
3615 563.0000000000
3775 564.0000000000
4870 565.0000000000
5667 566.0000000000
8292 567.0000000000
9196 568.0000000000
9304 570.0000000000
15335 571.0000000000
25346 572.0000000000
100000 572.0000000000
evaluations raw_y
1 475.0000000000
2 481.0000000000
3 489.0000000000
7 520.0000000000
108 524.0000000000
143 526.0000000000
151 528.0000000000
205 535.0000000000
307 537.0000000000
391 539.0000000000
393 548.0000000000
593 551.0000000000
1082 552.0000000000
2780 553.0000000000
3491 554.0000000000
3917 555.0000000000
3946 556.0000000000
4041 557.0000000000
4135 558.0000000000
4501 559.0000000000
4843 562.0000000000
5654 564.0000000000
9039 565.0000000000
9607 567.0000000000
100000 539.0000000000
evaluations raw_y
1 504.0000000000
8 505.0000000000
34 511.0000000000
36 515.0000000000
64 518.0000000000
120 526.0000000000
202 534.0000000000
445 536.0000000000
464 544.0000000000
576 547.0000000000
713 548.0000000000
785 550.0000000000
902 551.0000000000
919 553.0000000000
943 554.0000000000
4297 556.0000000000
11998 557.0000000000
12972 559.0000000000
27109 560.0000000000
27532 562.0000000000
28108 563.0000000000
30925 564.0000000000
31484 566.0000000000
100000 556.0000000000
evaluations raw_y
1 507.0000000000
19 509.0000000000
53 511.0000000000
54 513.0000000000
83 518.0000000000
119 526.0000000000
181 529.0000000000
210 534.0000000000
221 539.0000000000
339 541.0000000000
577 544.0000000000
665 545.0000000000
777 547.0000000000
927 548.0000000000
941 550.0000000000
1077 551.0000000000
1200 555.0000000000
1460 559.0000000000
1913 561.0000000000
5345 563.0000000000
10486 566.0000000000
14471 567.0000000000
100000 567.0000000000
evaluations raw_y
1 483.0000000000
2 489.0000000000
4 510.0000000000
6 519.0000000000
105 523.0000000000
123 526.0000000000
146 528.0000000000
182 534.0000000000
301 536.0000000000
381 538.0000000000
441 541.0000000000
540 551.0000000000
1303 552.0000000000
1502 558.0000000000
6951 560.0000000000
9490 562.0000000000
11416 563.0000000000
12385 564.0000000000
42564 566.0000000000
63060 567.0000000000
70372 568.0000000000
100000 568.0000000000
evaluations raw_y
1 466.0000000000
2 491.0000000000
3 496.0000000000
18 521.0000000000
44 523.0000000000
108 527.0000000000
182 530.0000000000
209 533.0000000000
270 535.0000000000
485 537.0000000000
516 538.0000000000
586 540.0000000000
628 549.0000000000
866 551.0000000000
936 552.0000000000
1130 553.0000000000
2119 556.0000000000
4595 561.0000000000
9040 562.0000000000
20736 563.0000000000
48409 566.0000000000
100000 566.0000000000
evaluations raw_y
1 471.0000000000
3 496.0000000000
4 498.0000000000
7 504.0000000000
10 513.0000000000
48 525.0000000000
94 526.0000000000
238 532.0000000000
350 534.0000000000
427 536.0000000000
484 538.0000000000
488 542.0000000000
493 543.0000000000
524 548.0000000000
644 552.0000000000
791 553.0000000000
860 554.0000000000
1351 556.0000000000
4741 560.0000000000
5702 561.0000000000
5819 562.0000000000
6232 563.0000000000
7239 564.0000000000
9270 565.0000000000
10432 566.0000000000
11291 567.0000000000
13744 568.0000000000
100000 554.0000000000
evaluations raw_y
1 456.0000000000
2 475.0000000000
4 492.0000000000
6 501.0000000000
18 516.0000000000
62 518.0000000000
88 520.0000000000
143 529.0000000000
204 535.0000000000
385 539.0000000000
569 540.0000000000
572 547.0000000000
735 549.0000000000
758 552.0000000000
969 553.0000000000
1019 556.0000000000
1826 557.0000000000
2119 559.0000000000
2631 560.0000000000
5744 562.0000000000
6317 565.0000000000
6714 567.0000000000
8625 570.0000000000
11520 571.0000000000
18209 572.0000000000
100000 572.0000000000
evaluations raw_y
1 499.0000000000
2 500.0000000000
13 506.0000000000
16 508.0000000000
26 514.0000000000
76 515.0000000000
77 520.0000000000
102 523.0000000000
196 527.0000000000
197 535.0000000000
387 536.0000000000
602 537.0000000000
606 539.0000000000
795 540.0000000000
870 541.0000000000
879 545.0000000000
1092 547.0000000000
1264 549.0000000000
1457 550.0000000000
1882 552.0000000000
2277 553.0000000000
2757 556.0000000000
4118 557.0000000000
5158 559.0000000000
5547 560.0000000000
5849 561.0000000000
7032 563.0000000000
7746 564.0000000000
9246 565.0000000000
9499 566.0000000000
12713 568.0000000000
17361 570.0000000000
19702 573.0000000000
100000 558.0000000000
evaluations raw_y
1 497.0000000000
21 502.0000000000
41 511.0000000000
65 522.0000000000
101 527.0000000000
166 530.0000000000
206 531.0000000000
208 532.0000000000
221 533.0000000000
223 534.0000000000
277 539.0000000000
471 542.0000000000
541 543.0000000000
557 546.0000000000
562 548.0000000000
646 552.0000000000
890 553.0000000000
1111 556.0000000000
1443 559.0000000000
6033 560.0000000000
6915 561.0000000000
100000 561.0000000000
evaluations raw_y
1 487.0000000000
3 506.0000000000
14 520.0000000000
27 524.0000000000
58 539.0000000000
326 541.0000000000
378 544.0000000000
537 545.0000000000
569 547.0000000000
631 549.0000000000
857 551.0000000000
860 552.0000000000
869 554.0000000000
1048 556.0000000000
1890 557.0000000000
2189 559.0000000000
2536 560.0000000000
3193 561.0000000000
4974 564.0000000000
5294 568.0000000000
7149 570.0000000000
9092 571.0000000000
12243 572.0000000000
100000 572.0000000000
evaluations raw_y
1 504.0000000000
21 522.0000000000
132 523.0000000000
226 528.0000000000
228 530.0000000000
333 533.0000000000
338 536.0000000000
406 540.0000000000
531 541.0000000000
545 542.0000000000
632 545.0000000000
643 546.0000000000
703 547.0000000000
739 548.0000000000
771 550.0000000000
806 554.0000000000
1429 555.0000000000
1622 557.0000000000
1684 558.0000000000
2189 559.0000000000
2518 560.0000000000
2579 563.0000000000
62507 564.0000000000
100000 529.0000000000
evaluations raw_y
1 468.0000000000
2 474.0000000000
4 500.0000000000
9 501.0000000000
14 503.0000000000
25 515.0000000000
67 528.0000000000
146 533.0000000000
189 536.0000000000
301 537.0000000000
321 542.0000000000
381 544.0000000000
412 550.0000000000
690 551.0000000000
743 553.0000000000
921 555.0000000000
1241 557.0000000000
1337 558.0000000000
1380 559.0000000000
1455 561.0000000000
2027 562.0000000000
37578 563.0000000000
38990 564.0000000000
40315 565.0000000000
100000 565.0000000000
evaluations raw_y
1 485.0000000000
2 505.0000000000
11 506.0000000000
15 507.0000000000
22 508.0000000000
26 512.0000000000
34 516.0000000000
66 522.0000000000
80 526.0000000000
316 536.0000000000
333 543.0000000000
475 547.0000000000
637 548.0000000000
878 553.0000000000
1616 554.0000000000
1954 556.0000000000
1979 557.0000000000
2106 559.0000000000
2427 560.0000000000
2569 561.0000000000
2796 563.0000000000
3114 564.0000000000
8055 565.0000000000
100000 550.0000000000
evaluations raw_y
1 462.0000000000
2 495.0000000000
5 502.0000000000
16 516.0000000000
57 522.0000000000
210 525.0000000000
230 535.0000000000
252 537.0000000000
528 540.0000000000
656 547.0000000000
799 548.0000000000
964 551.0000000000
1232 552.0000000000
3158 555.0000000000
3632 557.0000000000
23276 558.0000000000
26591 560.0000000000
28275 561.0000000000
28663 563.0000000000
28882 564.0000000000
49079 566.0000000000
66119 568.0000000000
100000 568.0000000000
evaluations raw_y
1 439.0000000000
2 487.0000000000
3 500.0000000000
5 504.0000000000
12 506.0000000000
15 507.0000000000
17 511.0000000000
26 512.0000000000
71 515.0000000000
89 518.0000000000
152 519.0000000000
170 523.0000000000
222 527.0000000000
236 531.0000000000
330 532.0000000000
419 536.0000000000
644 539.0000000000
759 540.0000000000
788 542.0000000000
855 548.0000000000
867 553.0000000000
1035 555.0000000000
1247 557.0000000000
1522 558.0000000000
2945 559.0000000000
4004 561.0000000000
5360 564.0000000000
16983 566.0000000000
44596 570.0000000000
100000 544.0000000000
evaluations raw_y
1 483.0000000000
3 502.0000000000
15 514.0000000000
20 524.0000000000
65 525.0000000000
99 535.0000000000
160 537.0000000000
284 538.0000000000
324 544.0000000000
594 549.0000000000
659 552.0000000000
723 554.0000000000
934 555.0000000000
1001 560.0000000000
1136 561.0000000000
15982 565.0000000000
18225 566.0000000000
19487 567.0000000000
58651 569.0000000000
96667 570.0000000000
100000 570.0000000000
evaluations raw_y
1 481.0000000000
2 511.0000000000
29 512.0000000000
43 513.0000000000
50 516.0000000000
108 519.0000000000
121 524.0000000000
147 530.0000000000
240 539.0000000000
285 548.0000000000
511 549.0000000000
758 550.0000000000
821 551.0000000000
874 552.0000000000
908 553.0000000000
1189 555.0000000000
1805 556.0000000000
1994 557.0000000000
2030 559.0000000000
2599 560.0000000000
3345 561.0000000000
3981 563.0000000000
5242 564.0000000000
10026 565.0000000000
81675 566.0000000000
84582 567.0000000000
87818 569.0000000000
100000 555.0000000000
evaluations raw_y
1 481.0000000000
4 489.0000000000
7 503.0000000000
11 505.0000000000
14 513.0000000000
49 516.0000000000
96 518.0000000000
98 519.0000000000
198 525.0000000000
378 536.0000000000
759 539.0000000000
836 542.0000000000
857 551.0000000000
1141 557.0000000000
1564 559.0000000000
1616 561.0000000000
3246 562.0000000000
3446 563.0000000000
3476 564.0000000000
4237 565.0000000000
7134 571.0000000000
18124 572.0000000000
100000 558.0000000000
evaluations raw_y
1 494.0000000000
7 502.0000000000
12 512.0000000000
20 518.0000000000
32 519.0000000000
82 530.0000000000
262 537.0000000000
270 539.0000000000
357 542.0000000000
416 545.0000000000
434 546.0000000000
496 548.0000000000
814 551.0000000000
1416 553.0000000000
1745 555.0000000000
2247 556.0000000000
2682 559.0000000000
3311 561.0000000000
7415 562.0000000000
7421 563.0000000000
7797 564.0000000000
7959 567.0000000000
8784 569.0000000000
9541 571.0000000000
22593 572.0000000000
27014 573.0000000000
38587 574.0000000000
100000 574.0000000000
evaluations raw_y
1 505.0000000000
4 510.0000000000
45 520.0000000000
103 532.0000000000
274 542.0000000000
426 543.0000000000
475 544.0000000000
617 545.0000000000
637 551.0000000000
828 552.0000000000
924 553.0000000000
931 555.0000000000
952 556.0000000000
1157 559.0000000000
2732 560.0000000000
6628 561.0000000000
8710 563.0000000000
9670 564.0000000000
9874 565.0000000000
14802 566.0000000000
100000 549.0000000000
evaluations raw_y
1 512.0000000000
21 516.0000000000
64 517.0000000000
107 519.0000000000
112 521.0000000000
119 523.0000000000
122 524.0000000000
142 528.0000000000
174 532.0000000000
275 534.0000000000
342 537.0000000000
406 539.0000000000
451 544.0000000000
656 545.0000000000
798 547.0000000000
830 549.0000000000
1188 550.0000000000
1301 553.0000000000
1395 554.0000000000
3271 555.0000000000
3933 557.0000000000
3948 560.0000000000
4354 561.0000000000
5011 562.0000000000
5737 564.0000000000
7101 566.0000000000
9774 567.0000000000
10536 568.0000000000
11502 571.0000000000
100000 571.0000000000
evaluations raw_y
1 484.0000000000
2 501.0000000000
9 514.0000000000
14 529.0000000000
156 532.0000000000
322 537.0000000000
391 540.0000000000
571 541.0000000000
632 542.0000000000
703 543.0000000000
713 544.0000000000
790 551.0000000000
1143 554.0000000000
1597 557.0000000000
1748 558.0000000000
6828 560.0000000000
7065 561.0000000000
7685 562.0000000000
7812 565.0000000000
8071 566.0000000000
15968 568.0000000000
20230 569.0000000000
20338 570.0000000000
100000 570.0000000000
evaluations raw_y
1 477.0000000000
3 490.0000000000
4 493.0000000000
8 515.0000000000
10 517.0000000000
65 526.0000000000
140 527.0000000000
144 533.0000000000
166 535.0000000000
234 537.0000000000
276 539.0000000000
355 541.0000000000
404 544.0000000000
489 547.0000000000
668 548.0000000000
747 551.0000000000
866 552.0000000000
869 554.0000000000
1036 555.0000000000
1067 558.0000000000
1160 559.0000000000
1425 560.0000000000
1448 561.0000000000
1512 565.0000000000
1557 567.0000000000
7217 569.0000000000
14976 570.0000000000
20808 571.0000000000
100000 571.0000000000
evaluations raw_y
1 500.0000000000
10 503.0000000000
15 506.0000000000
16 507.0000000000
19 518.0000000000
44 519.0000000000
177 524.0000000000
282 525.0000000000
309 536.0000000000
499 541.0000000000
544 545.0000000000
750 546.0000000000
806 548.0000000000
1037 551.0000000000
1122 553.0000000000
1513 554.0000000000
1582 556.0000000000
1910 557.0000000000
1922 558.0000000000
1923 561.0000000000
3814 563.0000000000
5493 564.0000000000
10516 565.0000000000
14366 568.0000000000
100000 533.0000000000
evaluations raw_y
1 499.0000000000
15 500.0000000000
17 514.0000000000
22 543.0000000000
382 547.0000000000
427 548.0000000000
437 557.0000000000
617 558.0000000000
932 561.0000000000
1512 562.0000000000
1871 563.0000000000
7889 564.0000000000
10625 566.0000000000
10929 567.0000000000
21422 568.0000000000
60811 569.0000000000
62108 571.0000000000
65126 573.0000000000
100000 573.0000000000
evaluations raw_y
1 479.0000000000
2 483.0000000000
6 498.0000000000
7 508.0000000000
27 521.0000000000
95 523.0000000000
135 535.0000000000
393 538.0000000000
554 540.0000000000
709 545.0000000000
739 551.0000000000
855 552.0000000000
1041 557.0000000000
1597 559.0000000000
3186 560.0000000000
6779 561.0000000000
8747 562.0000000000
10484 566.0000000000
100000 532.0000000000
evaluations raw_y
1 474.0000000000
2 489.0000000000
4 500.0000000000
9 511.0000000000
14 516.0000000000
38 517.0000000000
66 520.0000000000
85 524.0000000000
192 525.0000000000
261 526.0000000000
284 528.0000000000
301 530.0000000000
370 538.0000000000
524 540.0000000000
578 541.0000000000
583 542.0000000000
733 547.0000000000
1046 548.0000000000
1077 551.0000000000
1078 555.0000000000
1391 558.0000000000
1535 559.0000000000
2186 560.0000000000
3818 561.0000000000
4442 563.0000000000
12855 564.0000000000
13396 567.0000000000
16477 569.0000000000
23721 570.0000000000
63409 571.0000000000
68114 572.0000000000
72813 573.0000000000
100000 573.0000000000
evaluations raw_y
1 485.0000000000
3 493.0000000000
10 496.0000000000
11 504.0000000000
12 513.0000000000
13 526.0000000000
89 531.0000000000
240 537.0000000000
246 538.0000000000
247 539.0000000000
324 542.0000000000
416 545.0000000000
420 547.0000000000
674 552.0000000000
759 559.0000000000
1058 560.0000000000
1823 562.0000000000
3559 563.0000000000
4314 566.0000000000
24817 568.0000000000
28696 570.0000000000
31596 571.0000000000
33156 573.0000000000
evaluations raw_y
1 483.0000000000
2 501.0000000000
28 503.0000000000
38 511.0000000000
68 512.0000000000
88 514.0000000000
93 517.0000000000
105 518.0000000000
107 528.0000000000
188 529.0000000000
197 537.0000000000
351 538.0000000000
400 539.0000000000
407 542.0000000000
420 543.0000000000
546 544.0000000000
598 549.0000000000
1020 552.0000000000
1876 554.0000000000
2439 555.0000000000
2622 558.0000000000
3697 560.0000000000
5050 561.0000000000
15220 562.0000000000
17778 563.0000000000
17858 564.0000000000
18320 565.0000000000
18430 569.0000000000
19640 570.0000000000
100000 573.0000000000
100000 570.0000000000
evaluations raw_y
1 489.0000000000
2 491.0000000000
3 501.0000000000
6 503.0000000000
10 504.0000000000
27 509.0000000000
39 510.0000000000
64 515.0000000000
86 526.0000000000
98 530.0000000000
292 538.0000000000
427 539.0000000000
454 540.0000000000
498 542.0000000000
565 544.0000000000
568 546.0000000000
644 551.0000000000
814 552.0000000000
885 555.0000000000
1524 556.0000000000
1643 559.0000000000
2475 561.0000000000
3615 563.0000000000
3775 564.0000000000
4870 565.0000000000
5667 566.0000000000
8292 567.0000000000
9196 568.0000000000
9304 570.0000000000
15335 571.0000000000
25346 572.0000000000
100000 572.0000000000
evaluations raw_y
1 475.0000000000
2 481.0000000000
3 489.0000000000
7 520.0000000000
108 524.0000000000
143 526.0000000000
151 528.0000000000
205 535.0000000000
307 537.0000000000
391 539.0000000000
393 548.0000000000
593 551.0000000000
1082 552.0000000000
2780 553.0000000000
3491 554.0000000000
3917 555.0000000000
3946 556.0000000000
4041 557.0000000000
4135 558.0000000000
4501 559.0000000000
4843 562.0000000000
5654 564.0000000000
9039 565.0000000000
9607 567.0000000000
100000 539.0000000000
evaluations raw_y
1 504.0000000000
8 505.0000000000
34 511.0000000000
36 515.0000000000
64 518.0000000000
120 526.0000000000
202 534.0000000000
445 536.0000000000
464 544.0000000000
576 547.0000000000
713 548.0000000000
785 550.0000000000
902 551.0000000000
919 553.0000000000
943 554.0000000000
4297 556.0000000000
11998 557.0000000000
12972 559.0000000000
27109 560.0000000000
27532 562.0000000000
28108 563.0000000000
30925 564.0000000000
31484 566.0000000000
100000 556.0000000000
evaluations raw_y
1 507.0000000000
19 509.0000000000
53 511.0000000000
54 513.0000000000
83 518.0000000000
119 526.0000000000
181 529.0000000000
210 534.0000000000
221 539.0000000000
339 541.0000000000
577 544.0000000000
665 545.0000000000
777 547.0000000000
927 548.0000000000
941 550.0000000000
1077 551.0000000000
1200 555.0000000000
1460 559.0000000000
1913 561.0000000000
5345 563.0000000000
10486 566.0000000000
14471 567.0000000000
100000 567.0000000000
evaluations raw_y
1 483.0000000000
2 489.0000000000
4 510.0000000000
6 519.0000000000
105 523.0000000000
123 526.0000000000
146 528.0000000000
182 534.0000000000
301 536.0000000000
381 538.0000000000
441 541.0000000000
540 551.0000000000
1303 552.0000000000
1502 558.0000000000
6951 560.0000000000
9490 562.0000000000
11416 563.0000000000
12385 564.0000000000
42564 566.0000000000
63060 567.0000000000
70372 568.0000000000
100000 568.0000000000
evaluations raw_y
1 466.0000000000
2 491.0000000000
3 496.0000000000
18 521.0000000000
44 523.0000000000
108 527.0000000000
182 530.0000000000
209 533.0000000000
270 535.0000000000
485 537.0000000000
516 538.0000000000
586 540.0000000000
628 549.0000000000
866 551.0000000000
936 552.0000000000
1130 553.0000000000
2119 556.0000000000
4595 561.0000000000
9040 562.0000000000
20736 563.0000000000
48409 566.0000000000
100000 566.0000000000
evaluations raw_y
1 471.0000000000
3 496.0000000000
4 498.0000000000
7 504.0000000000
10 513.0000000000
48 525.0000000000
94 526.0000000000
238 532.0000000000
350 534.0000000000
427 536.0000000000
484 538.0000000000
488 542.0000000000
493 543.0000000000
524 548.0000000000
644 552.0000000000
791 553.0000000000
860 554.0000000000
1351 556.0000000000
4741 560.0000000000
5702 561.0000000000
5819 562.0000000000
6232 563.0000000000
7239 564.0000000000
9270 565.0000000000
10432 566.0000000000
11291 567.0000000000
13744 568.0000000000
100000 554.0000000000
evaluations raw_y
1 456.0000000000
2 475.0000000000
4 492.0000000000
6 501.0000000000
18 516.0000000000
62 518.0000000000
88 520.0000000000
143 529.0000000000
204 535.0000000000
385 539.0000000000
569 540.0000000000
572 547.0000000000
735 549.0000000000
758 552.0000000000
969 553.0000000000
1019 556.0000000000
1826 557.0000000000
2119 559.0000000000
2631 560.0000000000
5744 562.0000000000
6317 565.0000000000
6714 567.0000000000
8625 570.0000000000
11520 571.0000000000
18209 572.0000000000
100000 572.0000000000
evaluations raw_y
1 499.0000000000
2 500.0000000000
13 506.0000000000
16 508.0000000000
26 514.0000000000
76 515.0000000000
77 520.0000000000
102 523.0000000000
196 527.0000000000
197 535.0000000000
387 536.0000000000
602 537.0000000000
606 539.0000000000
795 540.0000000000
870 541.0000000000
879 545.0000000000
1092 547.0000000000
1264 549.0000000000
1457 550.0000000000
1882 552.0000000000
2277 553.0000000000
2757 556.0000000000
4118 557.0000000000
5158 559.0000000000
5547 560.0000000000
5849 561.0000000000
7032 563.0000000000
7746 564.0000000000
9246 565.0000000000
9499 566.0000000000
12713 568.0000000000
17361 570.0000000000
19702 573.0000000000
100000 558.0000000000
evaluations raw_y
1 497.0000000000
21 502.0000000000
41 511.0000000000
65 522.0000000000
101 527.0000000000
166 530.0000000000
206 531.0000000000
208 532.0000000000
221 533.0000000000
223 534.0000000000
277 539.0000000000
471 542.0000000000
541 543.0000000000
557 546.0000000000
562 548.0000000000
646 552.0000000000
890 553.0000000000
1111 556.0000000000
1443 559.0000000000
6033 560.0000000000
6915 561.0000000000
100000 561.0000000000
evaluations raw_y
1 487.0000000000
3 506.0000000000
14 520.0000000000
27 524.0000000000
58 539.0000000000
326 541.0000000000
378 544.0000000000
537 545.0000000000
569 547.0000000000
631 549.0000000000
857 551.0000000000
860 552.0000000000
869 554.0000000000
1048 556.0000000000
1890 557.0000000000
2189 559.0000000000
2536 560.0000000000
3193 561.0000000000
4974 564.0000000000
5294 568.0000000000
7149 570.0000000000
9092 571.0000000000
12243 572.0000000000
100000 572.0000000000
evaluations raw_y
1 504.0000000000
21 522.0000000000
132 523.0000000000
226 528.0000000000
228 530.0000000000
333 533.0000000000
338 536.0000000000
406 540.0000000000
531 541.0000000000
545 542.0000000000
632 545.0000000000
643 546.0000000000
703 547.0000000000
739 548.0000000000
771 550.0000000000
806 554.0000000000
1429 555.0000000000
1622 557.0000000000
1684 558.0000000000
2189 559.0000000000
2518 560.0000000000
