evaluations raw_y
1 81.8800000000
3 115.5100000000
16 121.6200000000
44 153.2400000000
111 161.4700000000
192 164.2400000000
197 178.2800000000
285 179.7500000000
293 180.6900000000
330 185.8300000000
335 199.6700000000
408 204.4200000000
598 211.9600000000
732 219.3800000000
819 234.0700000000
878 241.0200000000
925 305.4400000000
1153 311.9300000000
1281 316.9300000000
1442 331.7100000000
1469 437.4300000000
1493 452.0600000000
1531 463.5600000000
1604 477.8700000000
1690 483.5100000000
1954 485.7600000000
2079 492.0400000000
2084 494.4000000000
2214 515.2700000000
2343 525.5600000000
3200 526.5200000000
3412 586.6400000000
3444 606.6500000000
3484 607.1300000000
3536 612.0300000000
3601 629.9800000000
4004 665.2700000000
4039 668.9800000000
4085 686.8100000000
4147 688.8700000000
4155 705.4500000000
4187 705.7300000000
4200 708.4100000000
4223 712.2000000000
4360 724.4000000000
4934 724.5800000000
6094 732.8400000000
evaluations raw_y
1 77.3100000000
3 118.0200000000
56 120.5000000000
57 140.5300000000
85 150.0000000000
130 150.2500000000
207 151.9900000000
227 164.3100000000
297 170.6300000000
355 179.8400000000
411 182.4200000000
425 182.8700000000
474 184.5300000000
530 187.7800000000
598 189.2200000000
673 192.5500000000
712 195.4400000000
752 198.4100000000
914 200.6100000000
1027 261.2700000000
1172 286.0300000000
1275 290.8900000000
1294 407.7200000000
1388 431.0400000000
1485 433.7900000000
1499 441.5400000000
1640 491.9400000000
1663 499.8400000000
1712 511.1500000000
1744 528.7700000000
1780 530.6200000000
1793 534.5700000000
1861 538.6800000000
1910 544.2900000000
2003 552.6600000000
2143 560.0600000000
2864 569.8300000000
9103 820.5800000000
9200 846.1200000000
4108 569.8800000000
4377 651.6700000000
4401 671.6600000000
4498 680.3800000000
4533 684.7100000000
4777 687.6400000000
4884 688.5000000000
4924 689.1700000000
4963 701.6400000000
10400 851.9100000000
5413 706.8100000000
5988 721.4200000000
11793 852.1200000000
8466 729.6400000000
8645 731.0200000000
8719 741.9000000000
9379 747.7600000000
10294 788.5900000000
10314 796.3000000000
10325 839.5000000000
10414 840.8700000000
10454 846.7300000000
15176 852.4700000000
15210 865.2500000000
10607 847.5400000000
10642 847.6100000000
10707 853.7800000000
11515 858.9200000000
16838 867.0700000000
17889 869.9700000000
13613 872.9000000000
21344 871.6800000000
27951 872.6700000000
29885 873.6200000000
30436 877.0700000000
36200 880.0300000000
37973 886.8100000000
38300 895.1600000000
39829 904.2100000000
42668 906.4600000000
47710 908.7000000000
61304 881.0400000000
100000 774.1600000000
evaluations raw_y
1 58.2100000000
2 72.7100000000
3 75.5400000000
5 81.6800000000
6 100.6200000000
48 103.9300000000
50 105.4600000000
66 114.2300000000
78 226.8400000000
109 240.3200000000
123 250.2700000000
134 251.7500000000
145 253.7200000000
151 268.0500000000
154 271.2200000000
161 277.5500000000
249 305.3100000000
367 307.5600000000
431 310.6800000000
471 313.6900000000
496 321.2500000000
521 341.8600000000
648 347.3000000000
713 379.4600000000
770 380.9100000000
798 435.5300000000
898 450.7900000000
919 461.0000000000
1008 462.6900000000
1097 468.0800000000
1113 472.0200000000
1136 490.5900000000
1360 504.5600000000
1704 507.7800000000
1752 508.3000000000
1788 511.9500000000
1793 512.2800000000
2135 516.5300000000
2191 519.1100000000
3077 522.9900000000
3091 619.5600000000
3104 623.4600000000
3184 623.7200000000
3198 623.9400000000
3212 636.6800000000
3251 645.7200000000
3407 645.9000000000
3546 647.7600000000
3652 649.0200000000
3702 649.5000000000
3719 652.4000000000
3737 653.4500000000
3878 655.6200000000
4046 656.0300000000
4288 663.0600000000
5204 667.0100000000
100000 835.0000000000
evaluations raw_y
1 64.4200000000
2 75.3300000000
3 79.1500000000
5 82.6100000000
6 97.6300000000
16 100.1100000000
44 108.1900000000
9698 671.9700000000
85 126.4200000000
103 134.5100000000
112 135.5500000000
127 141.6000000000
145 155.9200000000
154 156.7700000000
166 174.7800000000
232 176.6600000000
252 182.8100000000
304 204.9200000000
9799 672.0700000000
408 218.4700000000
557 222.3400000000
616 224.4900000000
631 273.2500000000
669 279.4300000000
732 291.7800000000
10020 674.8100000000
792 305.9200000000
822 317.3400000000
855 322.8900000000
10140 675.1800000000
938 328.4900000000
10162 675.2800000000
10175 677.0200000000
964 339.0300000000
10180 679.7300000000
10189 681.8700000000
996 343.4200000000
10247 684.9500000000
1055 350.4300000000
10298 687.2000000000
1196 351.9700000000
1201 358.3900000000
1277 367.4800000000
1309 378.3600000000
1328 413.5500000000
1343 439.8500000000
1361 460.2300000000
1430 584.4500000000
1478 587.5300000000
1492 596.9900000000
1526 597.1600000000
1629 617.0100000000
11266 752.1800000000
11320 756.2700000000
11336 786.1800000000
11427 794.9400000000
2113 619.5200000000
2123 632.4100000000
11458 802.4000000000
2174 639.6200000000
11574 838.8700000000
11581 845.0400000000
2236 641.6600000000
2266 652.8900000000
11644 847.7100000000
11648 851.5500000000
11678 868.5100000000
2347 655.3200000000
11742 872.5600000000
2532 656.4000000000
11865 872.9700000000
2736 668.8100000000
2763 672.4400000000
2850 684.9100000000
2869 695.7500000000
12237 875.4900000000
12420 883.5600000000
4324 779.5100000000
4490 787.3500000000
4553 789.2900000000
4748 797.1000000000
13857 883.8800000000
5008 798.3000000000
5204 805.1900000000
14968 888.2900000000
14991 888.8300000000
6122 806.4900000000
15342 890.6500000000
15377 894.6600000000
6613 806.9100000000
6730 810.7000000000
15831 900.8000000000
17295 902.0900000000
8945 816.4300000000
21666 904.5000000000
14529 835.0700000000
14606 871.8900000000
14659 876.7800000000
14723 878.2600000000
14947 879.6100000000
14996 884.0900000000
15156 887.6700000000
15465 888.4900000000
15606 890.2100000000
15717 897.5800000000
25159 907.2400000000
17865 898.9700000000
20747 900.1900000000
29415 907.4100000000
22320 905.9700000000
23422 906.6400000000
42298 907.5200000000
48733 908.3000000000
67650 908.1400000000
73709 908.7800000000
88047 908.4700000000
100000 860.0200000000
evaluations raw_y
1 89.9500000000
2 107.1400000000
11 114.9900000000
45 118.3600000000
53 120.8900000000
60 127.5200000000
70 136.7400000000
91 155.2500000000
157 156.9700000000
197 169.0300000000
300 174.0400000000
345 182.5500000000
452 188.8000000000
528 193.7000000000
547 194.2200000000
574 197.3900000000
580 200.0300000000
633 216.8000000000
706 227.7100000000
846 294.2400000000
867 304.9300000000
883 307.0600000000
924 319.0900000000
973 331.7000000000
976 346.0000000000
1095 347.4800000000
1222 353.9900000000
1250 361.0500000000
1321 361.8100000000
1445 363.7100000000
1582 365.3600000000
1823 365.6300000000
1862 367.6000000000
2249 368.5900000000
2380 416.5700000000
2390 436.4500000000
2553 437.1900000000
2613 438.1000000000
2635 438.9800000000
2640 444.0200000000
2758 448.6600000000
2922 455.9400000000
3337 460.1400000000
4621 472.8400000000
4948 472.9000000000
5081 478.9800000000
5223 489.9700000000
5241 495.9300000000
5344 504.3500000000
5475 506.4400000000
5545 508.1400000000
5648 509.2300000000
5710 519.4400000000
5769 527.6100000000
6130 531.1300000000
6554 531.8900000000
6567 536.2800000000
6999 538.3600000000
7222 658.8500000000
7370 667.8100000000
7694 678.7800000000
7984 687.2100000000
8028 688.9300000000
8608 696.7700000000
9965 698.7000000000
13657 737.9400000000
13661 764.8100000000
13681 765.6700000000
13798 774.9500000000
13840 793.9800000000
14071 807.5300000000
100000 736.3000000000
evaluations raw_y
1 79.4100000000
2 100.8500000000
11 118.6800000000
44 119.8200000000
62 132.0800000000
84 295.1100000000
166 311.7300000000
188 311.9900000000
230 315.0600000000
239 315.7900000000
271 318.3600000000
272 325.0000000000
288 332.4000000000
332 360.5500000000
14731 808.8000000000
867 449.1600000000
883 459.7400000000
901 471.6100000000
1028 478.2100000000
1034 485.4500000000
1198 490.2700000000
1245 492.6800000000
1272 501.0100000000
1284 531.0900000000
1353 536.7500000000
1380 541.4900000000
1410 543.3300000000
1414 547.7000000000
1458 550.5800000000
1513 552.9200000000
15390 810.0900000000
1607 560.4300000000
15429 811.5300000000
1699 569.1400000000
2045 571.8500000000
15815 813.5500000000
2108 572.0800000000
2117 575.6200000000
2196 586.8000000000
4060 636.6800000000
4081 640.0000000000
17446 821.6600000000
4121 641.8100000000
4125 643.2600000000
4146 647.3700000000
4238 654.1100000000
4242 658.9800000000
4444 666.6400000000
4460 669.6300000000
4642 674.7900000000
5340 683.4900000000
5545 683.6800000000
5562 686.6200000000
5606 697.4100000000
5739 701.2900000000
6085 708.3200000000
6226 715.1800000000
7377 719.8400000000
7404 725.4100000000
7456 729.4400000000
7604 743.2300000000
7786 750.3800000000
7927 766.8600000000
21967 874.4800000000
21983 886.4100000000
22211 887.2100000000
22302 890.3200000000
22598 897.1600000000
23445 897.5700000000
24607 906.6900000000
27374 914.7300000000
16288 770.6100000000
18084 776.4600000000
18423 849.7100000000
18489 867.0400000000
18654 870.4700000000
18762 878.1000000000
18937 883.0700000000
20290 884.2500000000
21608 884.5000000000
23927 888.7000000000
29792 890.8900000000
48566 891.8000000000
100000 576.5500000000
evaluations raw_y
1 70.9500000000
2 78.3300000000
3 80.1000000000
5 97.2400000000
6 113.2700000000
15 238.7400000000
100 243.9000000000
108 263.8000000000
147 363.4800000000
298 373.8400000000
326 426.8200000000
390 429.0700000000
400 451.4100000000
527 454.4500000000
534 458.2700000000
591 468.8100000000
664 469.0900000000
731 475.0600000000
747 481.0000000000
843 484.9700000000
1003 488.4400000000
1094 592.2900000000
1197 594.9000000000
1212 607.4900000000
