evaluations raw_y
1 -2851.0000000000
2 -1767.9767928112
3 -420.5893451881
8 591.3027507635
11 594.7206035262
14 3154.9313346758
17 3974.5381840086
21 7207.7997860363
22 8023.9297155760
23 8107.8116212721
25 10297.1231965944
26 10660.8958232077
28 11447.4136344960
32 12511.7040167018
33 12968.7340259717
34 14725.0024051238
35 14918.4450632122
52 16148.3876512621
61 16444.7713924941
85 16490.4519199832
100 17475.3011421888
102 18268.5140704167
125 18648.5935327600
134 20492.4635772116
139 21486.3959533504
379 21530.1624535695
395 21539.2180709206
412 21933.4355672527
437 22280.8118492848
470 22603.1450558916
504 22630.8713631413
515 22896.8912626054
561 23178.0547458634
583 23402.9280269135
2023 23773.1132951919
2128 24277.4665677804
2451 24345.2637426659
4911 24375.2713372555
10000 21160.7368476078
evaluations raw_y
1 -2851.0000000000
2 -2599.1743259745
3 -965.3738994135
4 650.5017786181
5 1851.5812516003
6 2027.1177466237
8 5524.9622011119
14 6700.6999188677
16 9467.7171999595
28 10035.8000261364
35 10073.3890487314
36 10513.6912482377
37 10813.6294458218
40 11595.1036652938
55 12379.6095445976
63 12454.4633781694
65 12602.8283212168
92 14778.0354337060
100 14811.7433468008
102 14818.3038052786
114 16103.4313649455
121 16488.2079646493
126 17797.0477955364
141 18328.8371202702
160 18810.8724078469
166 19130.3337656668
171 19530.8364412777
175 20960.8305437259
214 22639.3423861213
283 22667.5271603560
292 22683.1396738013
310 23161.5397368477
360 23541.6416979032
722 23560.1164828902
972 23861.0696811557
2261 23863.7878690246
2494 23988.2917807291
3704 24078.1367035907
4043 24366.2459962751
5077 24372.2845323269
5356 24463.6988807016
6002 24562.4752951364
8145 24587.4660628681
10000 1459.8891618382
evaluations raw_y
1 -2851.0000000000
2 -1128.8350423323
3 -681.0128232017
4 485.2266645081
5 3060.4393101938
9 3523.6589639503
11 3749.9058340814
13 4882.9261438653
19 7917.1247494041
28 8776.3398379642
29 9805.8188276416
33 10703.0497288676
45 11555.2788346400
46 12910.8775605927
54 16348.0171516869
97 16920.1382795451
107 19066.3682527306
173 19442.1994013305
182 19812.8641073676
187 20528.6643391115
193 21537.8675171511
233 23144.2631745392
399 23486.7238713157
411 24009.5087279744
466 24391.5390256026
690 24454.6111393142
10000 5620.5647045596
evaluations raw_y
1 -2851.0000000000
2 -2405.7356096494
3 3180.9246808871
6 4940.0411180768
11 6099.6383036514
16 6205.4245299971
17 8909.6056590224
18 11123.0253892088
48 13855.3670587814
70 13952.6870941685
79 15159.3838143283
88 15622.2819748733
89 15709.4754790980
93 16497.0211360791
110 16587.0563214208
111 16883.8031625671
114 16960.8410553998
120 17354.8764415243
122 18858.4654593630
129 20807.8007191096
139 21703.2922672575
170 22847.3281417733
204 23295.8542614639
343 23709.3500170205
805 23742.3334082324
4809 23905.8552381460
5104 24306.9703270302
5463 24362.6588312621
6202 24558.4935356436
7626 24569.2055629890
10000 -160761.1000000000
evaluations raw_y
1 -2851.0000000000
2 2316.4533653179
3 3099.8544487794
4 3640.4954361311
5 4175.4992681106
8 4488.0160918832
13 7612.9809818597
18 9262.0254350965
22 9745.2295231602
24 10401.6951478260
25 11262.3777629600
34 12159.1501844457
37 12242.0977693071
45 15845.4600280977
46 16459.0684952552
56 18112.5170460580
137 18580.5726647150
215 19712.0630215586
228 20091.3396561136
253 20352.4242124247
265 21186.5617193214
273 21630.3213697265
276 23268.8612582849
707 23464.0790484657
1284 23613.1492158629
1394 23699.5146580836
2754 23865.5573449513
5045 23966.0624944026
5080 24079.9110748973
5157 24166.8868595791
5205 24299.0004827873
5439 24499.6673187230
7922 24622.8266365587
10000 22582.8754143930
evaluations raw_y
1 -2851.0000000000
2 -2466.0256250971
3 803.9862796650
9 2034.1996938209
11 3203.6220436441
13 3737.5951793275
14 5235.9241480968
27 5640.8754430623
30 6049.3798079853
32 8644.2699254156
35 9547.9416014515
39 10185.9660485901
48 11838.5339655239
67 12764.4424326251
71 14118.3621283184
86 14327.9615213706
88 15350.8315482956
90 16167.7984805885
102 16385.3261863800
104 17510.6461691367
108 18122.5789279739
126 18171.7306384857
134 18508.8376319809
136 21074.6475858236
217 21221.1490772559
221 21607.6052238680
253 22273.3653065009
420 22469.1849998767
457 22552.4320496386
481 22552.9781101194
482 22893.5721635888
532 23713.3275847425
950 23786.3875182416
1258 23865.9617513699
1468 24112.0426066202
2203 24188.5324402666
2303 24288.8944838571
3313 24377.1034293892
3381 24382.5948026643
3432 24416.4285785187
4298 24489.6187099742
5863 24545.1421825303
5899 24643.1060562922
10000 8631.7623680673
evaluations raw_y
1 -2851.0000000000
2 -499.9101454813
3 1156.4433380365
6 1347.6369692769
7 1532.2012754210
8 5750.9215123223
10 8087.5564288938
16 9233.6175109743
17 9275.7343353332
38 12731.8742204063
53 13517.0243587077
54 14435.1368459876
87 17884.1149154179
94 18250.0140753207
122 18680.6354482572
126 19214.1464080234
141 19281.9151476757
142 19457.1263787440
148 19827.1930499044
155 20014.2099531851
176 21409.4904763363
305 21787.0158162509
369 22514.0837820070
438 22602.8700440095
472 22913.5229326770
487 22980.8504267104
518 23303.8194153367
1122 23379.5309512023
1958 23406.5846519671
2056 23480.0151367343
2770 23727.5676370621
2777 23895.5844375050
3178 23956.6361280142
3858 23956.6715290304
4301 24156.9636256687
10000 -160773.1000000000
evaluations raw_y
1 -2851.0000000000
2 -834.6786530575
4 -295.3133191825
5 1130.7702179435
7 1673.9538710458
9 3199.1628837999
13 3662.4854583518
14 4656.4244582796
15 8843.0371580669
26 9983.2365813365
43 10413.3687742026
44 10575.2316913034
79 12786.6175877954
90 13320.8054993566
91 13365.6709224689
95 17595.1353752070
110 17945.0331677796
174 18263.6215836291
175 20469.5054943614
184 20631.0516805232
205 20670.1789633043
215 20817.7355556172
248 21740.2207340867
335 21862.9366546793
911 21886.7230823906
934 22431.6590010899
939 22470.7364715072
959 22871.3425715159
1118 22971.4919861338
1247 23084.0401706121
3534 23133.7727051727
3546 23239.2930946672
3606 23347.5196491065
4195 23464.5770500390
4780 23865.0537267824
5192 23907.7462229948
6078 24010.6000373693
6522 24116.3765249075
10000 9392.9674294449
evaluations raw_y
1 -2851.0000000000
2 203.0047287197
4 2552.4302242015
5 8336.0759737576
7 9278.7013976239
10 10597.5554348532
14 11730.8708916543
15 13587.6634684339
22 14326.7604058760
23 14928.3029952918
30 15356.2051841252
41 15728.9747904784
79 17336.6086107299
85 17517.2756133103
86 18037.5524950417
88 19443.2030004518
98 19865.1635417366
119 20123.4974837797
120 20946.9626059115
132 21288.4095902587
217 21517.6581364150
219 22166.5225604714
246 22248.1702787530
358 22320.1209512593
380 22353.0437063159
519 22425.8658489946
640 22670.0913629344
1077 22692.6480886809
1135 22799.1819845159
1147 22799.7455116603
1163 23028.4270157487
1171 23103.6913479216
1343 23153.7678145478
1348 23158.1980862251
1359 23309.8528649407
1448 23499.6616697979
1481 23609.7207718030
1966 23638.4169740995
2338 23700.2294649477
2409 23700.2317553595
4568 23726.8519632369
6031 23900.7984417021
6592 24107.5246450775
6746 24112.8818476800
6838 24125.1984959434
7215 24225.5500976511
7505 24325.9050256936
9126 24363.7116336454
10000 19705.8065874938
evaluations raw_y
1 -2851.0000000000
2 -2067.2897390672
3 359.9215093718
4 1729.4405085611
5 4579.3506071345
7 10011.7275906208
28 10693.2812952661
30 11585.8639926424
41 12266.3574807395
48 12601.6830506411
53 13285.5432649458
61 13691.9016553023
62 14456.0710273386
63 16174.6114968235
67 16775.4251885942
74 19034.1065518723
80 20084.5560529440
177 20358.8150634996
187 21121.2259764045
211 21486.4411512372
212 22073.8909933854
315 22105.1054891114
344 23532.2384150959
414 24140.2294575150
4011 24196.0520322138
5732 24283.5080191002
6195 24294.7107513375
9954 24439.8564875424
10000 23291.2404242498
evaluations raw_y
1 -2851.0000000000
2 -1541.5649104876
3 -593.1386112563
4 -128.2883826740
5 910.5365476551
6 3910.2218678702
7 4692.1151978289
12 7964.4458856864
13 8529.2251327489
15 11143.1004828876
18 11694.7077285429
21 12729.4274494808
25 13321.1004769466
31 14432.2561777633
85 15174.9952775575
130 15533.1166763048
160 17761.3166841578
216 19033.0087011377
402 19721.4255454333
435 19888.6551424743
438 20722.4172245148
511 20985.9026003039
523 21096.6734623078
526 22310.2616273241
851 22441.0386189958
903 22594.6057415436
1062 22734.2664002168
2035 22762.6277805015
2252 22853.4565129231
2482 23022.2498879819
2486 23171.8416699239
3171 23277.0273321126
3413 23372.0964331433
4744 23502.2250886009
5405 23599.1185722090
7646 23650.4498358186
7663 23833.9636970508
7766 23903.7326338067
8254 24026.2563375828
8405 24160.6978632947
8637 24171.1190630291
8923 24257.0245797020
9419 24338.0182785759
10000 17072.6604642530
evaluations raw_y
1 -2851.0000000000
2 -2032.5044853710
3 -1615.9087882072
5 4768.9116539168
9 5403.1726766615
10 5547.8327923060
14 5550.9937794779
16 6361.3973876099
23 6614.9460463227
28 7063.5290254858
29 8048.0832998562
32 8363.9297259702
34 9141.0804665991
44 10197.3291668851
46 10224.1342567167
48 11175.3295904227
57 11633.4257521728
65 13743.3335866304
68 15067.9381921512
74 17192.7081256966
84 17733.2898855940
102 17863.2774599977
103 18501.4182528239
147 20130.2155475642
174 20179.0323618105
204 20368.8593128364
213 20738.1320290234
220 21071.4368897652
307 21457.3700377843
309 21565.3299060913
326 21726.5670229656
359 21732.9138785102
369 21929.7309508334
388 22261.1191212866
416 22997.6065181907
649 23008.2423563551
968 23460.9576277236
978 23816.1114535187
988 23841.1056266164
1762 23847.9358365211
2005 23854.6204674853
2266 23868.3244670887
2958 23928.3093214163
3237 24008.3317422705
3314 24208.9916985477
5087 24409.6528155589
10000 -871.4660163780
evaluations raw_y
1 -2851.0000000000
2 -1039.0080637914
3 166.4667907764
4 2553.2198805337
7 3457.5454291716
14 5663.3201126093
17 6369.8152471165
18 7013.8158915549
21 7297.5985984309
22 8922.3773795672
23 9301.7415859047
25 12873.2166674845
27 19137.3546484301
37 19794.8294905321
42 20168.0529016017
45 21677.2632911281
135 22128.4204451865
161 22507.6575939461
195 23105.3424534218
270 23230.2899237886
304 23377.3550178335
349 23514.8913055841
1240 23586.0996999998
1618 23882.3342506405
2843 24034.9739875464
8596 24112.4857354556
8706 24119.7879580521
9462 24123.5203410166
9501 24137.1403753456
10000 2725.7085199011
evaluations raw_y
1 -2851.0000000000
2 -2016.2937971750
3 -87.8434276357
4 2569.0345668667
5 3044.9250154202
7 3415.0287715932
9 3955.2976424867
12 6273.3173933731
13 6447.9274333500
18 6635.3703764336
19 6661.6570820978
21 9308.3759790487
32 12869.1159144966
33 14953.2903469698
40 15578.3972034976
41 16037.1295699035
43 16221.9804217419
53 16293.8035273451
60 19096.7933856993
94 19510.2714407142
189 19537.8128794496
197 20971.3667581134
213 21217.4911353215
257 22263.6300844818
463 22606.5206436639
498 22663.0917937401
505 23056.7674013012
655 23334.6162954371
701 23437.3773418567
788 23594.8757520157
902 23618.7933163634
1283 23762.6963324836
2089 23795.0924544707
2692 23995.8550682854
7440 24092.3363914158
8966 24292.9493350262
10000 -160113.1000000000
evaluations raw_y
1 -2851.0000000000
2 -1468.5800577604
3 1174.2582658181
4 1365.9205777104
5 3306.2961200728
6 4055.7296615689
8 4127.0225225651
10 5935.4870224527
16 6869.8100179899
17 7325.3351528429
21 7573.4969820068
23 7857.0909149555
24 8665.9085376785
25 10599.1513267491
27 13181.3530301430
30 14711.0031437663
34 16503.7848700484
52 17269.9626909841
61 17471.2976630001
64 18070.7691014091
70 18586.9950920169
114 19005.8928286265
117 19686.7573239303
122 21670.7008088575
216 22110.8778079485
236 22651.3851562426
245 23013.4178076587
250 23360.8186484135
276 24114.6829579766
771 24181.1256636549
844 24209.8169993949
957 24283.3297043983
963 24458.9535912287
1034 24522.5563626501
2389 24588.1840549567
2460 24684.9764973325
3811 24759.3882950249
10000 -2750.0982413795
evaluations raw_y
1 -2851.0000000000
2 -1891.3674799646
3 -64.2945560561
4 523.6552543636
6 2365.6653583769
7 2867.3998424097
9 7762.8594560171
13 7967.1925440252
16 9876.2505186127
18 11454.9413180873
26 11722.6096014200
43 12477.4140975940
47 14243.5615427482
117 14691.6466837031
121 15222.2842335541
161 16822.6972666767
175 18022.4816510067
187 18422.5774134734
202 20078.2950881628
214 20417.3990420375
230 21237.1839837443
245 21749.4017694701
246 21929.3772502256
251 21949.6841338951
362 22323.5765193375
366 23274.7212146622
460 23592.0109510155
1221 23654.3715185478
1610 23710.8666108884
1711 23824.8369328760
1715 23844.3692442792
1719 24112.4122284871
4525 24165.7449100031
5395 24225.3284806778
5546 24325.6625054416
5955 24448.1945530520
10000 9488.9555604156
evaluations raw_y
1 -2851.0000000000
2 99.3719818362
5 384.4766086366
6 1676.4642159122
7 5311.3128309195
8 8979.6695399714
30 9564.0359318700
31 10317.5753487303
33 11450.8661479463
61 13773.3570851236
77 14788.7641570554
80 15686.4270288940
90 16320.4359834339
99 16356.1456426808
101 16605.2628158944
102 17702.2860832512
115 17795.2096700517
122 17929.1662603576
125 18347.7341433347
137 18812.2575817227
143 19152.0445861819
146 19403.2351883452
170 19746.5442611299
175 19768.2450036189
184 20677.0142678060
222 22287.6726565595
229 22442.2441748282
260 22593.5063495696
284 23048.9741758310
319 23116.6091627897
517 23244.0460560741
714 23353.3002524135
1395 23447.3614262920
2043 23485.9766200604
2257 23618.7503074083
2514 23635.7277954570
2621 23778.0125730640
2660 24017.8874463558
2882 24370.3879250123
5106 24391.2757552425
6635 24461.2767954192
9062 24489.7268806003
10000 -189.2991226006
evaluations raw_y
1 -2851.0000000000
2 -1216.8268240204
5 1012.7304772373
6 3190.6148907056
8 9182.3222780347
15 9355.4277128376
18 9919.6400042967
20 9939.8274602677
25 11818.9058222793
26 13216.9476944114
27 13544.1990373645
28 16364.0406194231
50 18552.6347323578
96 18925.9465805136
111 19962.6305934777
112 19994.0320025632
116 23088.7351843607
168 23561.0272995360
315 23683.5717720538
1655 23780.2617613106
1796 23814.4300630306
1821 23902.2216579102
2158 24303.5331536825
2997 24324.4329307423
10000 20322.4479075950
evaluations raw_y
1 -2851.0000000000
2 -1937.8181603829
3 554.1878129544
5 1072.2085567427
9 3033.4862237516
11 3085.5610042817
13 3214.1829117514
17 4481.4613147341
18 6239.7161570289
25 7053.7232239095
31 7382.7169947618
36 9262.5166850551
39 13112.5067499049
49 13889.9571799101
73 15051.8013994410
86 15197.0137449636
89 15380.3357175719
90 16261.8554732438
96 18180.7065950767
101 18426.1913560652
108 18477.4896692360
126 19942.8651274765
295 20025.9551204461
334 20102.9949652275
364 21361.9998292228
385 21441.1857167405
430 21985.8166045464
665 22018.9816641332
670 22208.7818240931
677 22373.4926504342
703 22598.2759584952
768 22730.8503043530
1418 22842.4464399763
1468 23063.9481126734
1491 23233.6465945434
1492 23319.8758649908
1497 23520.2405378504
1647 23668.1873478935
1650 23727.2750171657
1878 23728.8835795504
1946 23756.5433978722
1955 23819.0036253425
1987 23953.6352588657
1997 24071.8230398177
3562 24091.4646180554
4542 24263.9026976381
8930 24333.5038351687
9270 24582.9352073802
9936 24734.5563448543
10000 5154.1140555923
evaluations raw_y
1 -2851.0000000000
2 -2195.8763818386
4 641.3000977346
5 1553.2994967734
8 2890.0132960927
9 3096.0747097900
12 3097.4971716838
16 5211.3704741845
20 8841.1261233111
33 10449.6556067293
36 11270.6172452817
65 12299.5833834214
82 13014.9662280517
84 14446.9210385258
113 14958.9044659735
115 15229.9919501456
136 15517.3073090764
140 16790.2795142849
143 17921.0035988980
145 18439.8590607110
146 18615.1504550812
183 20866.5699659110
196 20896.8022016779
287 21422.0506534523
310 21608.1491581738
423 21813.9062381744
525 21878.7849445474
562 21895.6606114263
568 21958.8463737491
688 22113.1753862413
726 22421.9738040864
734 22708.3205712597
746 23140.2773946283
753 23312.8733409267
806 23682.6096945195
935 23695.0155352400
1138 23782.9981773733
1429 23806.1333138629
1477 23903.8626307761
1809 23966.2595654541
1810 23999.1938414656
2654 24166.9581125263
5522 24177.2792450800
7614 24261.6608775998
8104 24322.9044731378
10000 -2066.1704912594
evaluations raw_y
1 -2851.0000000000
2 -2132.0612373638
3 -1854.6498749327
4 -790.8320424895
5 814.4176150520
6 3777.8136821766
15 4686.6801905164
16 5610.8463250807
22 6292.6026231025
23 8003.4340388920
47 9904.2923242536
54 10727.4535994234
55 11922.2904125276
58 12123.8816622638
59 12737.0844465296
62 13801.6971610551
88 15239.2863898327
89 15405.3333831561
91 16127.4800897275
93 16489.5864358740
105 17323.9521528135
113 17772.5797108766
154 18898.5286450847
209 18983.6990959008
269 19740.8019810725
297 22079.2728173300
456 22335.1418015400
463 22421.9731742864
476 22631.6665585605
796 22644.6501402931
1783 22661.7285621068
1799 22719.0675076199
1811 22745.9906878117
1863 22946.4934077024
1954 23073.5815438094
2041 23117.3874287317
2059 23424.5581085565
2479 23639.3108749057
2715 23814.6714180317
2823 23915.0130049551
2824 24038.0384515564
2913 24066.4907882646
3025 24165.2668182938
5664 24403.3039566654
5792 24604.0294706032
10000 12931.1619134192
evaluations raw_y
1 -2851.0000000000
2 -1842.1293802580
3 1201.9090198047
6 2708.0912819756
7 4422.2967457540
12 6890.5021553447
26 7603.3005530260
29 10597.2429833476
48 12279.0856171373
54 14178.4470834674
57 14298.3872678223
69 14622.6564215857
90 15888.5401797781
126 16213.7146112852
132 16287.1180303677
142 16702.5520393829
145 17290.6846690228
158 17658.6447084260
217 19218.1789023865
219 22093.3399160345
237 23229.1361833388
251 23286.5738867821
271 23430.8711183456
750 23498.3517149843
768 23657.0356357120
779 23736.1710314795
814 23741.2016665211
833 23780.2472411454
872 23864.5836962817
883 24266.2805296782
1207 24429.9123175897
10000 6137.6009084551
evaluations raw_y
1 -2851.0000000000
2 -2066.8776630619
3 -1466.5795358224
4 -308.4767972402
5 362.7671313669
6 655.1056264487
7 729.0946011571
8 1654.8338747680
9 1860.8353752881
12 5835.0852091011
18 6616.6903323801
23 7376.9008255742
34 7588.6759803958
38 8407.8504783778
41 8461.3000521904
44 8885.3909117773
56 9976.4765921962
66 10268.8945672672
70 10678.9871573290
73 12093.4552790806
80 12259.2314845244
83 12637.2523711634
96 13970.7224275151
98 14005.3682893768
100 15321.0394830265
104 15326.3073177602
106 15815.8013715995
113 16724.5116059913
121 17415.3452566309
127 17504.9743196559
141 17605.4392855949
145 17692.0447833709
148 18986.7614935384
164 19791.3345223909
197 20244.1154392009
244 20393.6368266698
294 21634.2323210034
343 22231.8019422604
641 22548.5353574267
780 22765.9495129161
811 22771.7280165473
873 22777.5033314851
937 22847.1275251940
999 22886.0863916963
1052 22949.7427265290
1184 23205.5477627127
1344 23224.4556605963
1383 23229.2774607225
1449 23343.8472494323
2588 23358.3527851421
3074 23365.9105931502
3215 23368.2543215713
3585 23372.1105614363
3811 23459.5802176896
3856 23557.4784285268
10000 -160121.1000000000
evaluations raw_y
1 -2851.0000000000
2 1773.1118345336
3 2418.4196025675
6 6380.4434416467
7 7083.7663130945
15 8461.5779360319
19 9050.5194826296
20 9732.2525951272
25 9840.1233800533
27 11327.7141928120
32 11733.8588235700
33 13602.1566980616
42 15588.5039070284
44 17972.1420092494
57 18366.0985570851
64 18612.3422903280
78 18683.0254704890
86 19749.6618080035
133 20064.6746352421
144 22390.7691881628
321 22536.9624605611
330 22607.4096361892
345 22695.3765786910
