evaluations raw_y
1 0.0000000000
2 2.9400000000
3 8.3000000000
4 9.3900000000
5 16.7500000000
6 22.5100000000
8 24.9400000000
20 28.8100000000
21 38.7200000000
22 60.7300000000
32 62.9500000000
39 75.4400000000
46 82.0600000000
52 82.7500000000
57 91.5200000000
72 109.6200000000
119 121.3300000000
131 126.1100000000
179 133.4400000000
180 133.8200000000
242 150.0700000000
246 152.3300000000
248 168.8400000000
250 169.0500000000
252 169.7700000000
254 170.4800000000
259 179.1000000000
260 188.3000000000
262 191.5700000000
263 199.7600000000
265 214.0600000000
269 216.3300000000
274 221.5600000000
276 221.9000000000
279 224.6900000000
283 226.0900000000
289 230.0000000000
291 237.6700000000
303 238.9000000000
305 246.8800000000
356 259.4600000000
362 267.7000000000
407 272.7900000000
471 276.6300000000
495 281.9000000000
546 298.1800000000
613 306.6200000000
628 321.0300000000
710 322.5500000000
714 332.4900000000
733 342.9000000000
735 354.8500000000
791 355.3900000000
810 360.5900000000
819 366.1200000000
826 367.5200000000
845 371.4300000000
859 388.8400000000
871 394.7700000000
916 394.8900000000
944 397.8600000000
978 399.7000000000
1023 412.4200000000
1083 420.1300000000
1175 425.8300000000
1253 511.8800000000
1255 517.5700000000
1257 521.5400000000
1266 523.0700000000
1274 524.9200000000
1316 545.4100000000
1512 548.5800000000
1768 559.7300000000
1993 565.9000000000
2919 568.8500000000
3299 575.4100000000
3475 576.3900000000
3659 580.0800000000
5567 584.4500000000
10000 300.4000000000
evaluations raw_y
1 0.0000000000
2 10.5000000000
3 13.5700000000
4 17.4900000000
5 30.2400000000
7 31.2300000000
11 31.7100000000
19 42.0000000000
22 61.9200000000
26 68.3700000000
28 72.5500000000
32 80.3000000000
34 95.7300000000
35 110.3100000000
43 122.1200000000
119 125.7200000000
121 136.0900000000
145 138.4400000000
186 148.0700000000
238 152.2900000000
271 165.0800000000
448 166.3800000000
453 178.4100000000
749 190.8200000000
856 192.0700000000
1012 196.5000000000
1419 220.5000000000
1463 236.0000000000
1466 238.8800000000
1470 246.5700000000
1483 249.8600000000
1513 250.4400000000
1609 250.7400000000
1701 261.8800000000
2161 264.8400000000
2251 268.8600000000
2272 273.8000000000
2277 283.7700000000
2324 286.1600000000
2346 297.3200000000
2347 313.3900000000
2391 319.5500000000
2819 324.4700000000
2830 404.3200000000
2865 406.3500000000
2880 415.5900000000
2979 428.1600000000
3459 436.5600000000
4861 480.2600000000
4953 493.1600000000
4960 498.3800000000
5066 508.9200000000
5107 516.9400000000
7641 518.1000000000
7663 608.0300000000
10000 520.5300000000
evaluations raw_y
1 0.0000000000
2 17.6400000000
3 36.6700000000
15 41.2800000000
17 69.3200000000
25 71.2500000000
39 86.2100000000
44 93.2100000000
46 97.0200000000
64 103.0500000000
70 108.1000000000
75 108.8300000000
122 111.8100000000
131 111.9100000000
140 121.9700000000
248 132.5100000000
249 142.3100000000
261 157.1100000000
398 166.7500000000
707 231.3800000000
2191 266.4000000000
2201 283.8900000000
2203 308.5400000000
2207 314.9700000000
2236 319.6600000000
2309 321.0800000000
2378 323.1800000000
2384 332.5700000000
2699 333.6200000000
2720 338.6200000000
3005 345.5100000000
3117 351.5500000000
3565 354.2300000000
3940 356.3600000000
3983 363.6000000000
4026 367.2300000000
4150 367.2700000000
4295 368.8400000000
4408 372.2600000000
4493 442.0300000000
4969 466.1600000000
4971 472.8400000000
5013 478.9000000000
5015 479.1300000000
5574 481.6500000000
6235 487.3700000000
7648 488.9000000000
7660 489.7000000000
7671 512.6000000000
9480 513.1800000000
10000 425.4300000000
evaluations raw_y
1 0.0000000000
2 5.0100000000
3 13.0700000000
5 18.4100000000
8 20.0800000000
9 28.7700000000
10 58.2400000000
15 69.4400000000
18 71.5000000000
26 73.0000000000
28 88.8200000000
37 89.0900000000
38 103.5900000000
61 117.1400000000
69 117.5400000000
90 124.9700000000
97 127.1500000000
172 137.3200000000
177 138.5500000000
179 141.9700000000
182 148.4600000000
206 149.9400000000
215 162.1800000000
237 163.9100000000
240 172.5200000000
267 173.3100000000
425 191.2900000000
1580 193.1600000000
1588 193.9900000000
1613 209.5100000000
1614 236.0500000000
1830 237.5400000000
1833 237.6900000000
1981 238.9200000000
2003 240.7900000000
2102 241.4900000000
2112 242.5200000000
2126 337.7000000000
3607 345.0900000000
3939 345.4100000000
4249 357.7100000000
4260 361.1500000000
4264 367.9100000000
4278 371.9100000000
4294 372.8100000000
4299 377.1800000000
4422 390.5200000000
4468 460.3500000000
4487 468.8300000000
4924 484.5200000000
5727 505.8200000000
7251 507.7600000000
7253 510.3500000000
7278 514.1400000000
7349 515.0500000000
7358 520.9500000000
7359 522.9200000000
7369 527.0700000000
7374 537.9900000000
7491 539.2500000000
7539 540.8100000000
7590 552.5400000000
7859 553.2000000000
8313 554.9900000000
8831 558.1100000000
9066 559.6200000000
9168 559.6800000000
9175 560.5800000000
9184 560.9600000000
9192 564.7500000000
9206 569.9500000000
9255 577.3300000000
9269 584.3000000000
9612 586.9700000000
9835 590.8500000000
10000 221.6100000000
evaluations raw_y
1 0.0000000000
2 19.0400000000
3 54.6200000000
4 64.0200000000
7 74.2300000000
9 75.0200000000
12 89.8400000000
17 103.5500000000
18 106.9000000000
29 118.2000000000
51 118.6000000000
75 126.5600000000
87 135.8100000000
105 146.0500000000
451 149.5900000000
498 150.3600000000
533 166.6900000000
621 169.9200000000
632 196.3800000000
644 206.0100000000
650 208.4600000000
652 255.2900000000
704 264.0900000000
734 268.0700000000
769 269.7600000000
1013 271.1100000000
1229 293.3700000000
1264 296.1100000000
1314 305.8200000000
1361 395.5000000000
1402 407.0600000000
1409 425.0500000000
1446 431.6400000000
1551 435.0300000000
1641 440.2700000000
1643 443.4700000000
2110 449.3900000000
2229 449.9300000000
3697 450.7700000000
3835 451.0400000000
4105 544.3700000000
4283 549.2200000000
4496 556.7700000000
4823 558.9400000000
6232 571.2600000000
6266 571.7100000000
6290 577.1100000000
6293 608.1800000000
6369 618.8000000000
6525 620.5500000000
6702 624.8200000000
10000 281.4500000000
evaluations raw_y
1 0.0000000000
2 10.7000000000
4 14.6700000000
5 21.0800000000
10 26.6600000000
11 34.3500000000
16 57.4700000000
23 61.6500000000
25 69.6300000000
26 86.3500000000
32 90.9600000000
62 96.2900000000
63 108.8000000000
116 118.3900000000
191 124.3200000000
240 133.3400000000
280 143.6000000000
316 154.4000000000
371 155.0300000000
431 161.1400000000
462 164.3000000000
480 169.5400000000
481 183.7700000000
578 185.5000000000
580 186.3300000000
622 195.4900000000
741 252.1100000000
748 269.2900000000
757 274.9100000000
762 281.6500000000
819 282.7600000000
838 294.1300000000
850 295.0900000000
875 300.0200000000
881 310.0200000000
975 310.6800000000
1018 313.9500000000
1099 315.8900000000
1165 321.8900000000
1671 332.0200000000
1674 333.5300000000
1676 347.8000000000
1688 352.5000000000
1694 369.9900000000
1748 382.2100000000
1801 385.2500000000
1827 386.6100000000
1831 392.8400000000
1984 399.6500000000
2075 414.3000000000
2106 416.5700000000
2250 425.0500000000
2317 426.2100000000
2451 446.5400000000
2471 462.1900000000
2485 470.1100000000
2504 472.0100000000
2511 474.0100000000
2525 477.3900000000
2532 490.2200000000
2609 495.0700000000
2808 497.8000000000
3302 509.3900000000
5468 516.5100000000
5697 517.9600000000
5706 536.5200000000
6903 541.7400000000
6908 564.3900000000
8809 570.3500000000
9024 571.9400000000
9703 572.7900000000
10000 163.0500000000
evaluations raw_y
1 0.0000000000
2 9.9200000000
3 20.4900000000
4 36.0100000000
6 52.5400000000
11 63.2800000000
19 64.9000000000
24 70.1000000000
26 86.2300000000
53 86.7100000000
54 117.0700000000
127 123.5400000000
274 128.7400000000
369 136.3100000000
382 142.8700000000
402 214.7200000000
403 246.4600000000
411 253.7400000000
425 258.6000000000
444 268.1600000000
454 268.8100000000
545 276.3800000000
613 276.9700000000
639 283.6400000000
1322 287.7700000000
1693 293.2000000000
2417 303.4400000000
2479 322.5700000000
3857 328.5200000000
3926 328.6400000000
3932 328.8500000000
4028 331.5500000000
4052 336.0800000000
4133 455.3400000000
4333 460.0000000000
6440 463.7100000000
7202 473.0500000000
9717 476.4300000000
10000 31.7900000000
evaluations raw_y
1 0.0000000000
2 9.0700000000
3 20.6600000000
4 40.9500000000
9 45.9100000000
11 46.5500000000
14 68.9200000000
39 91.6900000000
59 152.1700000000
69 176.4900000000
82 191.9000000000
94 206.9500000000
108 217.1400000000
117 222.4400000000
181 226.3700000000
237 226.4100000000
254 230.4100000000
266 237.7300000000
322 238.6700000000
331 244.7200000000
377 261.6300000000
378 272.9200000000
391 281.5500000000
416 363.5500000000
417 366.5600000000
420 378.3200000000
435 384.1600000000
459 392.5500000000
469 401.0400000000
476 405.1800000000
487 407.4100000000
497 431.0400000000
1563 433.5800000000
1834 434.6700000000
1915 445.0800000000
2876 519.1500000000
2885 524.1300000000
2891 539.8000000000
2898 552.5500000000
2994 557.8700000000
3946 560.5400000000
4156 596.3700000000
4242 600.2900000000
4259 606.6500000000
4263 609.2900000000
4280 612.6100000000
4373 710.1900000000
4386 744.3700000000
5338 746.0100000000
5524 746.0700000000
5537 753.0200000000
7839 753.6900000000
10000 314.0400000000
evaluations raw_y
1 0.0000000000
2 9.2700000000
4 27.3100000000
5 35.8100000000
7 44.8900000000
10 66.6700000000
16 68.4100000000
17 72.9000000000
32 102.6400000000
33 116.3900000000
42 120.9400000000
55 126.5900000000
72 127.7300000000
98 146.5900000000
208 208.3600000000
217 211.8700000000
222 213.1800000000
224 217.1700000000
228 221.1200000000
229 243.2600000000
237 253.3300000000
245 256.1300000000
247 257.8100000000
266 258.8500000000
286 259.3800000000
319 262.9800000000
434 263.5800000000
456 273.8600000000
527 277.1900000000
529 292.6700000000
713 301.7600000000
1130 310.5500000000
1155 312.5400000000
1178 319.8100000000
1233 321.9800000000
1237 324.1200000000
1531 326.3200000000
1733 428.1000000000
4967 433.1200000000
4969 441.4200000000
5137 451.7200000000
5177 454.0000000000
5206 457.3500000000
5223 470.3800000000
5519 548.3200000000
5521 553.1600000000
5573 560.8600000000
5869 563.3600000000
6778 563.5500000000
6980 565.4000000000
7023 578.6600000000
7033 589.4400000000
8790 591.8400000000
8896 625.5600000000
8906 627.8800000000
8993 633.3700000000
9014 634.4200000000
9058 646.8100000000
10000 148.2900000000
evaluations raw_y
1 0.0000000000
2 6.5000000000
4 6.5200000000
5 10.1400000000
6 21.3400000000
7 29.1600000000
17 42.5500000000
18 61.8300000000
19 62.7500000000
21 64.4800000000
25 75.4300000000
53 83.4300000000
57 96.2600000000
73 97.1400000000
111 116.3000000000
135 116.5700000000
151 122.4300000000
181 126.2800000000
350 127.2300000000
384 129.0400000000
388 136.3700000000
599 138.3800000000
609 147.6900000000
632 156.5700000000
658 157.5500000000
673 159.6900000000
674 182.5800000000
997 191.7100000000
1169 196.9900000000
1205 197.4400000000
1223 209.2100000000
1233 210.6000000000
1245 212.8800000000
1282 215.4500000000
1356 218.7400000000
1525 231.8000000000
1639 232.1000000000
2201 320.3800000000
2248 329.3000000000
2249 329.7200000000
2268 331.4400000000
2385 333.8700000000
2401 336.4800000000
2496 349.5700000000
2974 354.2100000000
3121 391.8700000000
3140 417.7300000000
3175 422.8100000000
3176 439.9700000000
3177 447.1400000000
3178 455.6000000000
3200 457.9700000000
3299 459.0200000000
3306 460.2900000000
3311 462.9000000000
3367 468.2500000000
3501 470.5200000000
5066 472.1400000000
5485 473.1600000000
5503 478.4200000000
5746 504.8800000000
5748 506.0300000000
5750 511.6100000000
